French Sentence,English Translation,POS Sequence,Dependency Sequence,Valence,Relative Position
"La vie est un jeu, jouez-y.","Life is a game, play it.",DET NOUN AUX DET NOUN PUNCT VERB PRON PUNCT,"est-nsubj-vie,est-cop-est,est-obj-jeu,jeu-det-un,jouez-obj-y,vie-det-la",0.7,2
Le monde est une scène.,The world is a stage.,DET NOUN AUX DET NOUN PUNCT,"est-nsubj-monde,est-cop-est,est-obj-scène,scène-det-une,monde-det-le",0.6,2
La seule façon de faire du bon travail est d'aimer ce que vous faites.,The only way to do great work is to love what you do.,DET ADJ NOUN ADP VERB ADP DET ADJ NOUN AUX ADP VERB PRON VERB PUNCT,"façon-det-la seule,façon-obl-faire,faire-case-de,faire-obj-travail,travail-det-du bon,est-nsubj-façon,est-cop-est,est-xcomp-aimer,aimer-case-d',faites-nsubj-vous,faites-obj-ce que",0.8,4
La tristesse envahit son cœur.,Sadness overwhelmed her heart.,DET NOUN VERB DET NOUN PUNCT,"envahit-nsubj-tristesse,envahit-obj-cœur,cœur-det-son,tristesse-det-la",-0.8,2
Il pleure la perte de son ami.,He mourns the loss of his friend.,PRON VERB DET NOUN ADP DET NOUN PUNCT,"pleure-nsubj-il,pleure-obj-perte,perte-det-la,perte-nmod-ami,ami-det-son",-0.9,2
Un sentiment de vide l'accable.,A feeling of emptiness overwhelms him.,DET NOUN ADP NOUN PRON VERB PUNCT,"accable-nsubj-sentiment,sentiment-det-un,sentiment-nmod-vide,vide-case-de,accable-obj-l'",-0.7,2
Les souvenirs douloureux persistent.,Painful memories persist.,DET NOUN ADJ VERB PUNCT,"persistent-nsubj-souvenirs,souvenirs-amod-douloureux,souvenirs-det-les",-0.6,2
Elle ressent une profonde mélancolie.,She feels a deep melancholy.,PRON VERB DET ADJ NOUN PUNCT,"ressent-nsubj-elle,ressent-obj-mélancolie,mélancolie-det-une,mélancolie-amod-profonde",-0.8,2
La solitude est pesante.,Loneliness is heavy.,DET NOUN AUX ADJ PUNCT,"est-nsubj-solitude,est-cop-est,est-amod-pesante,solitude-det-la",-0.7,2
Son visage est marqué par le chagrin.,Her face is marked by sorrow.,DET NOUN AUX VERB ADP DET NOUN PUNCT,"est-nsubj-visage,est-cop-est,est-amod-marqué,marqué-obl-chagrin,chagrin-det-le,visage-det-son",-0.9,3
Les larmes coulent sans fin.,Tears flow endlessly.,DET NOUN VERB ADV ADJ PUNCT,"coulent-nsubj-larmes,coulent-advmod-sans fin,larmes-det-les",-0.8,2
Il ne peut pas oublier la douleur.,He cannot forget the pain.,PRON ADV AUX ADV VERB DET NOUN PUNCT,"peut-nsubj-il,peut-advmod-pas,peut-xcomp-oublier,oublier-obj-douleur,douleur-det-la",-0.9,2
Le deuil est une épreuve difficile.,Grief is a difficult ordeal.,DET NOUN AUX DET NOUN ADJ PUNCT,"est-nsubj-deuil,est-cop-est,est-obj-épreuve,épreuve-det-une,épreuve-amod-difficile,deuil-det-le",-0.9,2
Elle se sent brisée.,She feels broken.,PRON PRON VERB ADJ PUNCT,"sent-nsubj-elle,sent-obj-se,sent-amod-brisée",-0.9,2
Le poids du monde sur ses épaules.,The weight of the world on his shoulders.,DET NOUN ADP DET NOUN ADP DET NOUN PUNCT,"poids-det-le,poids-nmod-monde,monde-case-du,épaules-det-ses,épaules-case-sur",-0.8,0
Les jours sont sombres.,The days are dark.,DET NOUN AUX ADJ PUNCT,"sont-nsubj-jours,sont-cop-sont,sont-amod-sombres,jours-det-les",-0.7,2
Il a le cœur lourd.,He has a heavy heart.,PRON AUX DET NOUN ADJ PUNCT,"a-nsubj-il,a-obj-cœur,cœur-det-le,cœur-amod-lourd",-0.8,2
La vie semble vide sans elle.,Life seems empty without her.,DET NOUN VERB ADJ ADP PRON PUNCT,"semble-nsubj-vie,semble-amod-vide,vide-obl-elle,vie-det-la,elle-case-sans",-0.9,2
Elle pleure en silence.,She cries in silence.,PRON VERB ADP NOUN PUNCT,"pleure-nsubj-elle,pleure-obl-silence,silence-case-en",-0.8,2
La douleur est insupportable.,The pain is unbearable.,DET NOUN AUX ADJ PUNCT,"est-nsubj-douleur,est-cop-est,est-amod-insupportable,douleur-det-la",-1,2
Il se sent seul et abandonné.,He feels alone and abandoned.,PRON PRON VERB ADJ CCONJ ADJ PUNCT,"sent-nsubj-il,sent-obj-se,sent-amod-seul,seul-conj-abandonné",-0.9,2
Les nuits sont longues.,The nights are long.,DET NOUN AUX ADJ PUNCT,"sont-nsubj-nuits,sont-cop-sont,sont-amod-longues,nuits-det-les",-0.7,2
Elle ne voit pas la fin du tunnel.,She does not see the end of the tunnel.,PRON ADV VERB ADV DET NOUN ADP DET NOUN PUNCT,"voit-nsubj-elle,voit-advmod-pas,voit-obj-fin,fin-det-la,fin-nmod-tunnel,tunnel-case-du",-0.9,2
Le chagrin l'étouffe.,Sorrow suffocates him.,DET NOUN PRON VERB PUNCT,"étouffe-nsubj-chagrin,étouffe-obj-l',chagrin-det-le",-1,2
Ses rêves sont brisés.,Her dreams are shattered.,DET NOUN AUX ADJ PUNCT,"sont-nsubj-rêves,sont-cop-sont,sont-amod-brisés,rêves-det-ses",-0.9,2
La vie est cruelle parfois.,Life is cruel sometimes.,DET NOUN AUX ADJ ADV PUNCT,"est-nsubj-vie,est-cop-est,est-amod-cruelle,est-advmod-parfois,vie-det-la",-0.8,2
Il se sent impuissant.,He feels helpless.,PRON PRON VERB ADJ PUNCT,"sent-nsubj-il,sent-obj-se,sent-amod-impuissant",-0.9,2
Les souvenirs sont des épines.,Memories are thorns.,DET NOUN AUX DET NOUN PUNCT,"sont-nsubj-souvenirs,sont-cop-sont,sont-obj-épines,épines-det-des,souvenirs-det-les",-0.7,2
Elle porte un fardeau lourd.,She carries a heavy burden.,PRON VERB DET NOUN ADJ PUNCT,"porte-nsubj-elle,porte-obj-fardeau,fardeau-det-un,fardeau-amod-lourd",-0.8,2
Le vide est immense.,The emptiness is immense.,DET NOUN AUX ADJ PUNCT,"est-nsubj-vide,est-cop-est,est-amod-immense,vide-det-le",-0.9,2
La peine est gravée en elle.,The sorrow is engraved in her.,DET NOUN AUX VERB ADP PRON PUNCT,"est-nsubj-peine,est-cop-est,est-amod-gravée,gravée-obl-elle,peine-det-la,elle-case-en",-0.9,3
Il n'y a plus de joie.,There is no more joy.,PRON ADV AUX ADV ADP NOUN PUNCT,"a-nsubj-il,a-advmod-plus,a-obj-joie,joie-case-de",-0.9,2
Le temps ne guérit pas tout.,Time does not heal everything.,DET NOUN ADV VERB ADV PRON PUNCT,"guérit-nsubj-temps,guérit-advmod-pas,guérit-obj-tout,temps-det-le",-0.8,2
Elle se sent perdue.,She feels lost.,PRON PRON VERB ADJ PUNCT,"sent-nsubj-elle,sent-obj-se,sent-amod-perdue",-0.9,2
La vie est un chemin solitaire.,Life is a lonely path.,DET NOUN AUX DET NOUN ADJ PUNCT,"est-nsubj-vie,est-cop-est,est-obj-chemin,chemin-det-un,chemin-amod-solitaire,vie-det-la",-0.7,2
Le désespoir l'emporte.,Despair wins.,DET NOUN PRON VERB PUNCT,"emporte-nsubj-désespoir,emporte-obj-l',désespoir-det-le",-1,2
Les jours s'étirent.,The days stretch.,DET NOUN PRON VERB PUNCT,"étirent-nsubj-jours,étirent-obj-s',jours-det-les",-0.6,2
Elle ne trouve plus de sens.,She no longer finds meaning.,PRON ADV VERB ADV ADP NOUN PUNCT,"trouve-nsubj-elle,trouve-advmod-plus,trouve-obj-sens,sens-case-de",-0.9,2
Le silence est assourdissant.,The silence is deafening.,DET NOUN AUX ADJ PUNCT,"est-nsubj-silence,est-cop-est,est-amod-assourdissant,silence-det-le",-0.8,2
La nuit est longue et froide.,The night is long and cold.,DET NOUN AUX ADJ CCONJ ADJ PUNCT,"est-nsubj-nuit,est-cop-est,est-amod-longue,longue-conj-froide,nuit-det-la",-0.7,2
Il se sent piégé.,He feels trapped.,PRON PRON VERB ADJ PUNCT,"sent-nsubj-il,sent-obj-se,sent-amod-piégé",-0.9,2
Les regrets l'assaillent.,Regrets assail him.,DET NOUN PRON VERB PUNCT,"assaillent-nsubj-regrets,assaillent-obj-l',regrets-det-les",-0.9,2
La blessure est profonde.,The wound is deep.,DET NOUN AUX ADJ PUNCT,"est-nsubj-blessure,est-cop-est,est-amod-profonde,blessure-det-la",-0.9,2
Elle a le cœur brisé.,She has a broken heart.,PRON AUX DET NOUN VERB PUNCT,"a-nsubj-elle,a-obj-cœur,cœur-det-le,cœur-amod-brisé",-0.9,2
Le monde est gris.,The world is gray.,DET NOUN AUX ADJ PUNCT,"est-nsubj-monde,est-cop-est,est-amod-gris,monde-det-le",-0.7,2
La solitude l'étreint.,Loneliness embraces her.,DET NOUN PRON VERB PUNCT,"étreint-nsubj-solitude,étreint-obj-l',solitude-det-la",-0.8,2
Il ne voit plus personne.,He no longer sees anyone.,PRON ADV VERB ADV NOUN PUNCT,"voit-nsubj-il,voit-advmod-plus,voit-obj-personne",-0.9,2
La vie est un fardeau.,Life is a burden.,DET NOUN AUX DET NOUN PUNCT,"est-nsubj-vie,est-cop-est,est-obj-fardeau,fardeau-det-un,vie-det-la",-0.9,2
Le passé le hante.,The past haunts him.,DET NOUN PRON VERB PUNCT,"hante-nsubj-passé,hante-obj-le,passé-det-le",-0.8,2
Elle se sent vide à l'intérieur.,She feels empty inside.,PRON PRON VERB ADJ ADP NOUN PUNCT,"sent-nsubj-elle,sent-obj-se,sent-amod-vide,vide-obl-intérieur,intérieur-case-à l'",-0.9,3
La tristesse est une ombre.,Sadness is a shadow.,DET NOUN AUX DET NOUN PUNCT,"est-nsubj-tristesse,est-cop-est,est-obj-ombre,ombre-det-une,tristesse-det-la",-0.8,2
Il a perdu tout espoir.,He lost all hope.,PRON AUX VERB DET NOUN PUNCT,"a-nsubj-il,a-xcomp-perdu,perdu-obj-espoir,espoir-det-tout",-0.9,2
Les rêves sont partis.,The dreams are gone.,DET NOUN AUX VERB PUNCT,"sont-nsubj-rêves,sont-cop-sont,sont-amod-partis,rêves-det-les",-0.9,2
Elle ne peut plus sourire.,She can no longer smile.,PRON ADV AUX ADV VERB PUNCT,"peut-nsubj-elle,peut-advmod-plus,peut-xcomp-sourire",-0.9,2
Le cœur est lourd de chagrin.,The heart is heavy with sorrow.,DET NOUN AUX ADJ ADP NOUN PUNCT,"est-nsubj-cœur,est-cop-est,est-amod-lourd,lourd-obl-chagrin,chagrin-case-de,cœur-det-le",-0.9,3
La peine est sans fin.,The sorrow is endless.,DET NOUN AUX ADV ADJ PUNCT,"est-nsubj-peine,est-cop-est,est-advmod-sans,est-amod-fin,peine-det-la",-0.8,2
Il se noie dans sa douleur.,He drowns in his pain.,PRON PRON VERB ADP DET NOUN PUNCT,"noie-nsubj-il,noie-obj-se,noie-obl-douleur,douleur-det-sa",-0.9,2
Les jours se ressemblent.,The days are alike.,DET NOUN PRON VERB PUNCT,"ressemblent-nsubj-jours,ressemblent-obj-se,jours-det-les",-0.6,2
Elle a le moral à zéro.,She is completely disheartened.,PRON AUX DET NOUN ADP NUM PUNCT,"a-nsubj-elle,a-obj-moral,moral-det-le,moral-obl-zéro,zéro-case-à",-0.8,2
Le monde s'écroule autour d'elle.,The world collapses around her.,DET NOUN PRON VERB ADV ADP PRON PUNCT,"écroule-nsubj-monde,écroule-obj-s',écroule-advmod-autour,autour-obl-elle,elle-case-d',monde-det-le",-1,2
La solitude est son seul compagnon.,Loneliness is her only companion.,DET NOUN AUX DET ADJ NOUN PUNCT,"est-nsubj-solitude,est-cop-est,est-obj-compagnon,compagnon-det-son seul,solitude-det-la",-0.9,2
Il ne reste rien.,Nothing remains.,PRON ADV VERB PUNCT,"reste-nsubj-il,reste-advmod-rien",-0.9,2
La vie est un désert.,Life is a desert.,DET NOUN AUX DET NOUN PUNCT,"est-nsubj-vie,est-cop-est,est-obj-désert,désert-det-un,vie-det-la",-0.9,2
Le passé est douloureux.,The past is painful.,DET NOUN AUX ADJ PUNCT,"est-nsubj-passé,est-cop-est,est-amod-douloureux,passé-det-le",-0.8,2
Elle se sent abandonnée.,She feels abandoned.,PRON PRON VERB ADJ PUNCT,"sent-nsubj-elle,sent-obj-se,sent-amod-abandonnée",-0.9,2
La tristesse est une maladie.,Sadness is a disease.,DET NOUN AUX DET NOUN PUNCT,"est-nsubj-tristesse,est-cop-est,est-obj-maladie,maladie-det-une,tristesse-det-la",-0.9,2
Il a le cœur brisé.,He has a broken heart.,PRON AUX DET NOUN VERB PUNCT,"a-nsubj-il,a-obj-cœur,cœur-det-le,cœur-amod-brisé",-0.9,2
Les larmes sont sa seule consolation.,Tears are her only comfort.,DET NOUN AUX DET ADJ NOUN PUNCT,"sont-nsubj-larmes,sont-cop-sont,sont-obj-consolation,consolation-det-sa seule,larmes-det-les",-0.8,2
Elle ne voit pas d'issue.,She sees no way out.,PRON ADV VERB ADV ADP NOUN PUNCT,"voit-nsubj-elle,voit-advmod-pas,voit-obj-issue,issue-case-d'",-0.9,2
Le chagrin est un compagnon fidèle.,Sorrow is a faithful companion.,DET NOUN AUX DET NOUN ADJ PUNCT,"est-nsubj-chagrin,est-cop-est,est-obj-compagnon,compagnon-det-un,compagnon-amod-fidèle,chagrin-det-le",-0.9,2
La vie est une vallée de larmes.,Life is a valley of tears.,DET NOUN AUX DET NOUN ADP NOUN PUNCT,"est-nsubj-vie,est-cop-est,est-obj-vallée,vallée-det-une,vallée-nmod-larmes,larmes-case-de,vie-det-la",-0.9,2
Il se sent coupable.,He feels guilty.,PRON PRON VERB ADJ PUNCT,"sent-nsubj-il,sent-obj-se,sent-amod-coupable",-0.8,2
Les souvenirs sont un poids.,Memories are a burden.,DET NOUN AUX DET NOUN PUNCT,"sont-nsubj-souvenirs,sont-cop-sont,sont-obj-poids,poids-det-un,souvenirs-det-les",-0.7,2
Elle a le cœur en miettes.,Her heart is in pieces.,PRON AUX DET NOUN ADP NOUN PUNCT,"a-nsubj-elle,a-obj-cœur,cœur-det-le,cœur-obl-miettes,miettes-case-en",-0.9,2
Le vide est partout.,The emptiness is everywhere.,DET NOUN AUX ADV PUNCT,"est-nsubj-vide,est-cop-est,est-advmod-partout,vide-det-le",-0.9,2
La peine est immense.,The sorrow is immense.,DET NOUN AUX ADJ PUNCT,"est-nsubj-peine,est-cop-est,est-amod-immense,peine-det-la",-0.9,2
Il ne voit plus la beauté du monde.,He no longer sees the beauty of the world.,PRON ADV VERB ADV DET NOUN ADP DET NOUN PUNCT,"voit-nsubj-il,voit-advmod-plus,voit-obj-beauté,beauté-det-la,beauté-nmod-monde,monde-case-du",-0.9,2
La vie est une tragédie.,Life is a tragedy.,DET NOUN AUX DET NOUN PUNCT,"est-nsubj-vie,est-cop-est,est-obj-tragédie,tragédie-det-une,vie-det-la",-1,2
Le désespoir est son maître.,Despair is his master.,DET NOUN AUX DET NOUN PUNCT,"est-nsubj-désespoir,est-cop-est,est-obj-maître,maître-det-son,désespoir-det-le",-1,2
Elle se sent seule au monde.,She feels alone in the world.,PRON PRON VERB ADJ ADP DET NOUN PUNCT,"sent-nsubj-elle,sent-obj-se,sent-amod-seule,seule-obl-monde,monde-det-au",-0.9,2
La tristesse est un voile.,Sadness is a veil.,DET NOUN AUX DET NOUN PUNCT,"est-nsubj-tristesse,est-cop-est,est-obj-voile,voile-det-un,tristesse-det-la",-0.8,2
Il a les yeux rougis par les larmes.,His eyes are red with tears.,PRON AUX DET NOUN VERB ADP DET NOUN PUNCT,"a-nsubj-il,a-obj-yeux,yeux-det-les,rougis-obl-larmes,larmes-det-les",-0.8,3
Les larmes ne cessent de couler.,The tears do not stop flowing.,DET NOUN ADV VERB ADP VERB PUNCT,"cessent-nsubj-larmes,cessent-advmod-ne,cessent-xcomp-couler,couler-case-de,larmes-det-les",-0.9,2
Elle ne trouve pas la paix.,She does not find peace.,PRON ADV VERB ADV DET NOUN PUNCT,"trouve-nsubj-elle,trouve-advmod-pas,trouve-obj-paix,paix-det-la",-0.9,2
Le chagrin est une blessure ouverte.,Sorrow is an open wound.,DET NOUN AUX DET NOUN ADJ PUNCT,"est-nsubj-chagrin,est-cop-est,est-obj-blessure,blessure-det-une,blessure-amod-ouverte,chagrin-det-le",-1,2
La vie est un long adieu.,Life is a long farewell.,DET NOUN AUX DET ADJ NOUN PUNCT,"est-nsubj-vie,est-cop-est,est-obj-adieu,adieu-det-un long,vie-det-la",-0.9,2
Il se sent seul et incompris.,He feels alone and misunderstood.,PRON PRON VERB ADJ CCONJ ADJ PUNCT,"sent-nsubj-il,sent-obj-se,sent-amod-seul,seul-conj-incompris",-0.9,2
Les souvenirs sont amers.,Memories are bitter.,DET NOUN AUX ADJ PUNCT,"sont-nsubj-souvenirs,sont-cop-sont,sont-amod-amers,souvenirs-det-les",-0.8,2
Elle a le cœur serré.,Her heart is tight.,PRON AUX DET NOUN VERB PUNCT,"a-nsubj-elle,a-obj-cœur,cœur-det-le,cœur-amod-serré",-0.9,2
Le vide est insupportable.,The emptiness is unbearable.,DET NOUN AUX ADJ PUNCT,"est-nsubj-vide,est-cop-est,est-amod-insupportable,vide-det-le",-1,2
La peine est une prison.,The sorrow is a prison.,DET NOUN AUX DET NOUN PUNCT,"est-nsubj-peine,est-cop-est,est-obj-prison,prison-det-une,peine-det-la",-0.9,2
Il ne voit plus la lumière.,He no longer sees the light.,PRON ADV VERB ADV DET NOUN PUNCT,"voit-nsubj-il,voit-advmod-plus,voit-obj-lumière,lumière-det-la",-0.9,2
La vie est un cauchemar.,Life is a nightmare.,DET NOUN AUX DET NOUN PUNCT,"est-nsubj-vie,est-cop-est,est-obj-cauchemar,cauchemar-det-un,vie-det-la",-1,2
Le désespoir le ronge.,Despair gnaws at him.,DET NOUN PRON VERB PUNCT,"ronge-nsubj-désespoir,ronge-obj-le,désespoir-det-le",-1,2
Elle se sent au bout du rouleau.,She feels at the end of her rope.,PRON PRON VERB ADP DET NOUN ADP NOUN PUNCT,"sent-nsubj-elle,sent-obj-se,sent-obl-bout,bout-case-au,bout-nmod-rouleau,rouleau-case-du",-0.9,2
La tristesse est un océan.,Sadness is an ocean.,DET NOUN AUX DET NOUN PUNCT,"est-nsubj-tristesse,est-cop-est,est-obj-océan,océan-det-un,tristesse-det-la",-0.8,2
Il a les mains vides.,He has empty hands.,PRON AUX DET NOUN ADJ PUNCT,"a-nsubj-il,a-obj-mains,mains-det-les,mains-amod-vides",-0.8,2
Les larmes sont des mots.,Tears are words.,DET NOUN AUX DET NOUN PUNCT,"sont-nsubj-larmes,sont-cop-sont,sont-obj-mots,mots-det-des,larmes-det-les",-0.7,2
Elle ne trouve plus de raison de vivre.,She no longer finds a reason to live.,PRON ADV VERB ADV ADP NOUN ADP VERB PUNCT,"trouve-nsubj-elle,trouve-advmod-plus,trouve-obj-raison,raison-case-de,raison-obl-vivre,vivre-case-de",-0.9,2
Le chagrin est une cicatrice.,Sorrow is a scar.,DET NOUN AUX DET NOUN PUNCT,"est-nsubj-chagrin,est-cop-est,est-obj-cicatrice,cicatrice-det-une,chagrin-det-le",-0.9,2
La vie est un combat perdu.,Life is a lost battle.,DET NOUN AUX DET NOUN VERB PUNCT,"est-nsubj-vie,est-cop-est,est-obj-combat,combat-det-un,combat-amod-perdu,vie-det-la",-1,2
Il se sent seul contre tous.,He feels alone against everyone.,PRON PRON VERB ADJ ADP PRON PUNCT,"sent-nsubj-il,sent-obj-se,sent-amod-seul,seul-obl-tous,tous-case-contre",-0.9,2
Les souvenirs sont des fantômes.,Memories are ghosts.,DET NOUN AUX DET NOUN PUNCT,"sont-nsubj-souvenirs,sont-cop-sont,sont-obj-fantômes,fantômes-det-des,souvenirs-det-les",-0.8,2
Elle a le cœur lourd et triste.,Her heart is heavy and sad.,PRON AUX DET NOUN ADJ CCONJ ADJ PUNCT,"a-nsubj-elle,a-obj-cœur,cœur-det-le,cœur-amod-lourd,lourd-conj-triste",-0.9,2
Le vide est un abîme.,The emptiness is an abyss.,DET NOUN AUX DET NOUN PUNCT,"est-nsubj-vide,est-cop-est,est-obj-abîme,abîme-det-un,vide-det-le",-1,2
La peine est un poids sur l'âme.,The sorrow is a weight on the soul.,DET NOUN AUX DET NOUN ADP DET NOUN PUNCT,"est-nsubj-peine,est-cop-est,est-obj-poids,poids-det-un,poids-obl-âme,âme-det-l',peine-det-la,âme-case-sur l'",-0.9,2
Il ne voit plus d'avenir.,He sees no future.,PRON ADV VERB ADV ADP NOUN PUNCT,"voit-nsubj-il,voit-advmod-plus,voit-obj-avenir,avenir-case-d'",-0.9,2
La vie est une prison.,Life is a prison.,DET NOUN AUX DET NOUN PUNCT,"est-nsubj-vie,est-cop-est,est-obj-prison,prison-det-une,vie-det-la",-1,2
Le désespoir est une mer sans fin.,Despair is an endless sea.,DET NOUN AUX DET NOUN ADV ADJ PUNCT,"est-nsubj-désespoir,est-cop-est,est-obj-mer,mer-det-une,mer-advmod-sans,mer-amod-fin,désespoir-det-le",-1,2
Elle se sent vide et sans but.,She feels empty and aimless.,PRON PRON VERB ADJ CCONJ ADP NOUN PUNCT,"sent-nsubj-elle,sent-obj-se,sent-amod-vide,vide-conj-sans but,but-case-sans",-0.9,2
La tristesse est une compagne.,Sadness is a companion.,DET NOUN AUX DET NOUN PUNCT,"est-nsubj-tristesse,est-cop-est,est-obj-compagne,compagne-det-une,tristesse-det-la",-0.8,2
Il a le cœur en deuil.,He is in mourning.,PRON AUX DET NOUN ADP NOUN PUNCT,"a-nsubj-il,a-obj-cœur,cœur-det-le,cœur-obl-deuil,deuil-case-en",-0.9,2
Les larmes sont des rivières.,Tears are rivers.,DET NOUN AUX DET NOUN PUNCT,"sont-nsubj-larmes,sont-cop-sont,sont-obj-rivières,rivières-det-des,larmes-det-les",-0.8,2
Elle ne trouve plus de motivation.,She no longer finds motivation.,PRON ADV VERB ADV ADP NOUN PUNCT,"trouve-nsubj-elle,trouve-advmod-plus,trouve-obj-motivation,motivation-case-de",-0.9,2
Le chagrin est un poids écrasant.,Sorrow is an overwhelming burden.,DET NOUN AUX DET NOUN ADJ PUNCT,"est-nsubj-chagrin,est-cop-est,est-obj-poids,poids-det-un,poids-amod-écrasant,chagrin-det-le",-1,2
La vie est un labyrinthe sans issue.,Life is a maze with no way out.,DET NOUN AUX DET NOUN ADP NOUN PUNCT,"est-nsubj-vie,est-cop-est,est-obj-labyrinthe,labyrinthe-det-un,labyrinthe-advmod-sans,labyrinthe-amod-issue,vie-det-la",-0.9,2
